light	time_min	strain	activity	error_level	rep
acclimation	15	disease	3397.7930662445915	moderate	1
acclimation	16	WT	4858.6841054834995	moderate	1
acclimation	16	disease	2358.6841054834995	moderate	1
acclimation	17	WT	3504.5139820114796	moderate	1
acclimation	17	disease	1004.5139820114797	moderate	1
acclimation	18	WT	3388.992508587469	moderate	1
acclimation	18	disease	888.9925085874687	moderate	1
acclimation	19	WT	4423.457307300219	moderate	1
acclimation	19	disease	1923.457307300219	moderate	1
dark	20	WT	5948.5839572374	moderate	1
dark	20	disease	3448.5839572373998	moderate	1
dark	21	WT	6784.8734801852315	moderate	1
dark	21	disease	4284.8734801852315	moderate	1
dark	22	WT	5877.936154284024	moderate	1
dark	22	disease	3377.9361542840243	moderate	1
dark	23	WT	4713.376218656942	moderate	1
dark	23	disease	2213.376218656942	moderate	1
dark	24	WT	5322.679732491214	moderate	1
dark	24	disease	2822.6797324912136	moderate	1
dark	25	WT	4779.17321118162	moderate	1
dark	25	disease	2279.1732111816195	moderate	1
dark	26	WT	4082.261330525338	moderate	1
dark	26	disease	1582.261330525338	moderate	1
dark	27	WT	4886.074999856898	moderate	1
dark	27	disease	2386.074999856898	moderate	1
dark	28	WT	3316.7193208278886	moderate	1
dark	28	disease	816.7193208278885	moderate	1
dark	29	WT	1376.330817438458	moderate	1
dark	29	disease	-1123.669182561542	moderate	1
light	30	WT	0	moderate	1
light	30	disease	0	moderate	1
light	31	WT	0	moderate	1
light	31	disease	0	moderate	1
light	32	WT	0	moderate	1
light	32	disease	0	moderate	1
light	33	WT	0	moderate	1
light	33	disease	0	moderate	1
light	34	WT	0	moderate	1
light	34	disease	0	moderate	1
light	35	WT	0	moderate	1
light	35	disease	0	moderate	1
light	36	WT	0	moderate	1
light	36	disease	0	moderate	1
light	37	WT	0	moderate	1
light	37	disease	0	moderate	1
light	38	WT	0	moderate	1
light	38	disease	0	moderate	1
light	39	WT	0	moderate	1
light	39	disease	0	moderate	1
dark	40	WT	7352.356145810362	moderate	1
dark	40	disease	4852.356145810362	moderate	1
dark	41	WT	6642.262371792685	moderate	1
dark	41	disease	4142.262371792685	moderate	1
dark	42	WT	4839.4414603110245	moderate	1
dark	42	disease	2339.4414603110245	moderate	1
dark	43	WT	5119.008918677929	moderate	1
dark	43	disease	2619.0089186779282	moderate	1
dark	44	WT	5185.125338367015	moderate	1
dark	44	disease	2685.125338367014	moderate	1
dark	45	WT	4723.263769666612	moderate	1
dark	45	disease	2223.263769666611	moderate	1
dark	46	WT	5195.74436039223	moderate	1
dark	46	disease	2695.7443603922297	moderate	1
dark	47	WT	2735.9121552698343	moderate	1
dark	47	disease	235.91215526983422	moderate	1
dark	48	WT	2698.7838202819453	moderate	1
dark	48	disease	198.78382028194522	moderate	1
dark	49	WT	2270.3301093212467	moderate	1
dark	49	disease	-229.6698906787535	moderate	1
light	50	WT	0	moderate	1
light	50	disease	0	moderate	1
light	51	WT	0	moderate	1
light	51	disease	0	moderate	1
light	52	WT	0	moderate	1
light	52	disease	0	moderate	1
light	53	WT	0	moderate	1
light	53	disease	0	moderate	1
light	54	WT	0	moderate	1
light	54	disease	0	moderate	1
light	55	WT	0	moderate	1
light	55	disease	0	moderate	1
light	56	WT	0	moderate	1
light	56	disease	0	moderate	1
light	57	WT	0	moderate	1
light	57	disease	0	moderate	1
light	58	WT	0	moderate	1
light	58	disease	0	moderate	1
light	59	WT	0	moderate	1
light	59	disease	0	moderate	1
dark	60	WT	7104.6699166538165	moderate	1
dark	60	disease	4604.6699166538165	moderate	1
dark	61	WT	4709.17560059534	moderate	1
dark	61	disease	2209.1756005953403	moderate	1
dark	62	WT	5693.286885573209	moderate	1
dark	62	disease	3193.2868855732086	moderate	1
dark	63	WT	5621.3243414290555	moderate	1
dark	63	disease	3121.324341429055	moderate	1
dark	64	WT	5468.375237364363	moderate	1
dark	64	disease	2968.3752373643624	moderate	1
dark	65	WT	5159.359892362287	moderate	1
dark	65	disease	2659.3598923622862	moderate	1
dark	66	WT	4220.927121862127	moderate	1
dark	66	disease	1720.9271218621266	moderate	1
dark	67	WT	2182.920885017213	moderate	1
dark	67	disease	-317.0791149827868	moderate	1
dark	68	WT	2558.724992091023	moderate	1
dark	68	disease	58.72499209102304	moderate	1
dark	69	WT	2484.9013962751765	moderate	1
dark	69	disease	-15.09860372482359	moderate	1
light	70	WT	0	moderate	1
light	70	disease	0	moderate	1
light	71	WT	0	moderate	1
light	71	disease	0	moderate	1
light	72	WT	0	moderate	1
light	72	disease	0	moderate	1
light	73	WT	0	moderate	1
light	73	disease	0	moderate	1
light	74	WT	0	moderate	1
light	74	disease	0	moderate	1
light	75	WT	0	moderate	1
light	75	disease	0	moderate	1
light	76	WT	0	moderate	1
light	76	disease	0	moderate	1
light	77	WT	0	moderate	1
light	77	disease	0	moderate	1
light	78	WT	0	moderate	1
light	78	disease	0	moderate	1
light	79	WT	0	moderate	1
light	79	disease	0	moderate	1
dark	80	WT	6166.586659413454	moderate	1
dark	80	disease	3666.5866594134545	moderate	1
dark	81	WT	4892.237720667511	moderate	1
dark	81	disease	2392.237720667511	moderate	1
dark	82	WT	5335.243659602262	moderate	1
dark	82	disease	2835.243659602262	moderate	1
dark	83	WT	4193.735383601433	moderate	1
dark	83	disease	1693.7353836014329	moderate	1
dark	84	WT	4692.241285612718	moderate	1
dark	84	disease	2192.2412856127175	moderate	1
dark	85	WT	3445.1991399697863	moderate	1
dark	85	disease	945.1991399697861	moderate	1
dark	86	WT	3156.3789285953644	moderate	1
dark	86	disease	656.3789285953644	moderate	1
dark	87	WT	2250.2999909897785	moderate	1
dark	87	disease	-249.70000901022135	moderate	1
dark	88	WT	3013.8383724974537	moderate	1
dark	88	disease	513.8383724974536	moderate	1
dark	89	WT	820.4003838737738	moderate	1
dark	89	disease	-1679.5996161262262	moderate	1
acclimation	0	WT	4907.716023107607	high	1
acclimation	0	disease	2407.716023107607	high	1
acclimation	1	WT	4347.914432616525	high	1
acclimation	1	disease	1847.9144326165256	high	1
acclimation	2	WT	3198.3948327182707	high	1
acclimation	2	disease	698.3948327182707	high	1
acclimation	3	WT	4247.414849851029	high	1
acclimation	3	disease	1747.4148498510297	high	1
acclimation	4	WT	5141.9314919417	high	1
acclimation	4	disease	2641.9314919416997	high	1
acclimation	5	WT	2593.977387074159	high	1
acclimation	5	disease	93.97738707415942	high	1
acclimation	6	WT	3794.5797616551536	high	1
acclimation	6	disease	1294.5797616551536	high	1
acclimation	7	WT	3578.4653033634645	high	1
acclimation	7	disease	1078.4653033634645	high	1
acclimation	8	WT	5323.317637441789	high	1
acclimation	8	disease	2823.317637441789	high	1
acclimation	9	WT	4831.821872442251	high	1
acclimation	9	disease	2331.821872442251	high	1
acclimation	10	WT	3762.196705444144	high	1
acclimation	10	disease	1262.1967054441438	high	1
acclimation	11	WT	4749.726922383065	high	1
acclimation	11	disease	2249.726922383065	high	1
acclimation	12	WT	5702.919902259113	high	1
acclimation	12	disease	3202.919902259113	high	1
acclimation	13	WT	2371.156474277571	high	1
acclimation	13	disease	-128.84352572242938	high	1
acclimation	14	WT	3791.957992479785	high	1
acclimation	14	disease	1291.9579924797847	high	1
acclimation	15	WT	5503.41329739366	high	1
acclimation	15	disease	3003.41329739366	high	1
acclimation	16	WT	3888.124675362318	high	1
acclimation	16	disease	1388.124675362318	high	1
acclimation	17	WT	1851.4580973012453	high	1
acclimation	17	disease	-648.5419026987547	high	1
acclimation	18	WT	3839.638415006701	high	1
acclimation	18	disease	1339.6384150067013	high	1
acclimation	19	WT	4340.549834342766	high	1
acclimation	19	disease	1840.549834342766	high	1
dark	20	WT	6638.654456152433	high	1
dark	20	disease	4138.654456152433	high	1
dark	21	WT	4456.397751039542	high	1
dark	21	disease	1956.3977510395412	high	1
dark	22	WT	5895.858532907327	high	1
dark	22	disease	3395.858532907326	high	1
dark	23	WT	5018.636575188201	high	1
dark	23	disease	2518.6365751882013	high	1
dark	24	WT	4265.110415556563	high	1
dark	24	disease	1765.1104155565627	high	1
dark	25	WT	5282.770011125983	high	1
dark	25	disease	2782.770011125983	high	1
dark	26	WT	7101.685982642737	high	1
dark	26	disease	4601.685982642737	high	1
dark	27	WT	4628.419873261047	high	1
dark	27	disease	2128.419873261047	high	1
dark	28	WT	2818.687840463945	high	1
dark	28	disease	318.6878404639452	high	1
dark	29	WT	2068.9669578326098	high	1
dark	29	disease	-431.03304216739014	high	1
light	30	WT	0	high	1
light	30	disease	0	high	1
light	31	WT	0	high	1
light	31	disease	0	high	1
light	32	WT	0	high	1
light	32	disease	0	high	1
light	33	WT	0	high	1
light	33	disease	0	high	1
light	34	WT	0	high	1
light	34	disease	0	high	1
light	35	WT	0	high	1
light	35	disease	0	high	1
light	36	WT	0	high	1
light	36	disease	0	high	1
light	37	WT	0	high	1
light	37	disease	0	high	1
light	38	WT	0	high	1
light	38	disease	0	high	1
light	39	WT	0	high	1
light	39	disease	0	high	1
dark	40	WT	7343.457361975353	high	1
dark	40	disease	4843.457361975353	high	1
dark	41	WT	5293.484308132288	high	1
dark	41	disease	2793.4843081322874	high	1
dark	42	WT	6145.879099092164	high	1
dark	42	disease	3645.879099092164	high	1
dark	43	WT	3666.9157818866643	high	1
dark	43	disease	1166.9157818866645	high	1
dark	44	WT	5218.007167423145	high	1
dark	44	disease	2718.0071674231453	high	1
dark	45	WT	5391.474875766464	high	1
dark	45	disease	2891.4748757664643	high	1
dark	46	WT	3822.4052131329154	high	1
dark	46	disease	1322.4052131329154	high	1
dark	47	WT	2404.9103219020953	high	1
dark	47	disease	-95.08967809790477	high	1
dark	48	WT	1171.1459088686893	high	1
dark	48	disease	-1328.8540911313107	high	1
dark	49	WT	2928.2297464915264	high	1
dark	49	disease	428.22974649152616	high	1
light	50	WT	0	high	1
light	50	disease	0	high	1
light	51	WT	0	high	1
light	51	disease	0	high	1
light	52	WT	0	high	1
light	52	disease	0	high	1
light	53	WT	0	high	1
light	53	disease	0	high	1
light	54	WT	0	high	1
light	54	disease	0	high	1
light	55	WT	0	high	1
light	55	disease	0	high	1
light	56	WT	0	high	1
light	56	disease	0	high	1
light	57	WT	0	high	1
light	57	disease	0	high	1
light	58	WT	0	high	1
light	58	disease	0	high	1
light	59	WT	0	high	1
light	59	disease	0	high	1
dark	60	WT	6917.919515696406	high	1
dark	60	disease	4417.919515696406	high	1
dark	61	WT	5173.997383305285	high	1
dark	61	disease	2673.9973833052854	high	1
dark	62	WT	5082.910803146639	high	1
dark	62	disease	2582.9108031466394	high	1
dark	63	WT	6226.645792140613	high	1
dark	63	disease	3726.645792140613	high	1
dark	64	WT	4580.526056732877	high	1
dark	64	disease	2080.526056732877	high	1
dark	65	WT	4125.186513868395	high	1
dark	65	disease	1625.186513868395	high	1
dark	66	WT	4073.3091823425552	high	1
dark	66	disease	1573.3091823425555	high	1
dark	67	WT	3802.4143592215232	high	1
dark	67	disease	1302.4143592215235	high	1
dark	68	WT	2916.446329635274	high	1
dark	68	disease	416.4463296352743	high	1
dark	69	WT	1964.7353536361366	high	1
dark	69	disease	-535.2646463638633	high	1
light	70	WT	0	high	1
light	70	disease	0	high	1
light	71	WT	0	high	1
light	71	disease	0	high	1
light	72	WT	0	high	1
light	72	disease	0	high	1
light	73	WT	0	high	1
light	73	disease	0	high	1
light	74	WT	0	high	1
light	74	disease	0	high	1
light	75	WT	0	high	1
light	75	disease	0	high	1
light	76	WT	0	high	1
light	76	disease	0	high	1
light	77	WT	0	high	1
light	77	disease	0	high	1
light	78	WT	0	high	1
light	78	disease	0	high	1
light	79	WT	0	high	1
light	79	disease	0	high	1
dark	80	WT	5782.4084763915935	high	1
dark	80	disease	3282.4084763915935	high	1
dark	81	WT	4780.649152998537	high	1
dark	81	disease	2280.649152998537	high	1
dark	82	WT	5329.14542116101	high	1
dark	82	disease	2829.14542116101	high	1
dark	83	WT	3571.5824727344934	high	1
dark	83	disease	1071.5824727344936	high	1
dark	84	WT	4015.74875746872	high	1
dark	84	disease	1515.7487574687202	high	1
dark	85	WT	3718.69286532307	high	1
dark	85	disease	1218.69286532307	high	1
dark	86	WT	4576.1692419491355	high	1
dark	86	disease	2076.169241949136	high	1
dark	87	WT	2947.968261848076	high	1
dark	87	disease	447.9682618480759	high	1
dark	88	WT	2120.1135613644333	high	1
dark	88	disease	-379.8864386355667	high	1
dark	89	WT	160.69799849793003	high	1
dark	89	disease	-2339.30200150207	high	1
acclimation	0	WT	4688.269912102898	low	2
acclimation	0	disease	2188.2699121028977	low	2
acclimation	1	WT	4849.495409362629	low	2
acclimation	1	disease	2349.4954093626293	low	2
acclimation	2	WT	3662.2246463663064	low	2
acclimation	2	disease	1162.2246463663064	low	2
acclimation	3	WT	4818.336486278092	low	2
acclimation	3	disease	2318.336486278092	low	2
acclimation	4	WT	4526.576948267375	low	2
acclimation	4	disease	2026.5769482673747	low	2
acclimation	5	WT	3283.8653805505282	low	2
acclimation	5	disease	783.8653805505285	low	2
acclimation	6	WT	4179.161056338675	low	2
acclimation	6	disease	1679.161056338675	low	2
acclimation	7	WT	3570.486595804053	low	2
acclimation	7	disease	1070.4865958040532	low	2
acclimation	8	WT	4963.507267327138	low	2
acclimation	8	disease	2463.507267327138	low	2
acclimation	9	WT	4359.90545195776	low	2
acclimation	9	disease	1859.9054519577608	low	2
acclimation	10	WT	3902.7941137796784	low	2
acclimation	10	disease	1402.7941137796781	low	2
acclimation	11	WT	4182.957398442009	low	2
acclimation	11	disease	1682.9573984420094	low	2
acclimation	12	WT	4767.376913474178	low	2
acclimation	12	disease	2267.3769134741774	low	2
acclimation	13	WT	3575.108250979326	low	2
acclimation	13	disease	1075.1082509793262	low	2
acclimation	14	WT	4188.9665504995355	low	2
acclimation	14	disease	1688.9665504995355	low	2
acclimation	15	WT	5049.62563778723	low	2
acclimation	15	disease	2549.6256377872296	low	2
acclimation	16	WT	4968.9427658360155	low	2
acclimation	16	disease	2468.942765836016	low	2
acclimation	17	WT	3074.1911239402457	low	2
acclimation	17	disease	574.1911239402459	low	2
acclimation	18	WT	3330.990610648926	low	2
acclimation	18	disease	830.9906106489263	low	2
acclimation	19	WT	3949.613523282714	low	2
acclimation	19	disease	1449.6135232827141	low	2
dark	20	WT	6516.85115873948	low	2
dark	20	disease	4016.8511587394796	low	2
dark	21	WT	5781.015523447817	low	2
dark	21	disease	3281.0155234478175	low	2
dark	22	WT	5588.903207077611	low	2
dark	22	disease	3088.9032070776107	low	2
dark	23	WT	4911.701976208844	low	2
dark	23	disease	2411.701976208844	low	2
dark	24	WT	5165.838512360083	low	2
dark	24	disease	2665.8385123600833	low	2
dark	25	WT	5195.511483268716	low	2
dark	25	disease	2695.5114832687154	low	2
dark	26	WT	5295.186191561444	low	2
dark	26	disease	2795.186191561443	low	2
dark	27	WT	4785.450566284739	low	2
dark	27	disease	2285.450566284739	low	2
dark	28	WT	3079.362527905132	low	2
dark	28	disease	579.362527905132	low	2
dark	29	WT	2139.0151250007284	low	2
dark	29	disease	-360.9848749992717	low	2
light	30	WT	0	low	2
light	30	disease	0	low	2
light	31	WT	0	low	2
light	31	disease	0	low	2
light	32	WT	0	low	2
light	32	disease	0	low	2
light	33	WT	0	low	2
light	33	disease	0	low	2
light	34	WT	0	low	2
light	34	disease	0	low	2
light	35	WT	0	low	2
light	35	disease	0	low	2
light	36	WT	0	low	2
light	36	disease	0	low	2
light	37	WT	0	low	2
light	37	disease	0	low	2
light	38	WT	0	low	2
light	38	disease	0	low	2
light	39	WT	0	low	2
light	39	disease	0	low	2
dark	40	WT	6743.320085030135	low	2
dark	40	disease	4243.320085030135	low	2
dark	41	WT	6043.789541300416	low	2
dark	41	disease	3543.789541300416	low	2
dark	42	WT	4913.662925051696	low	2
dark	42	disease	2413.6629250516958	low	2
dark	43	WT	5386.326664394681	low	2
dark	43	disease	2886.3266643946804	low	2
dark	44	WT	5825.796968605712	low	2
dark	44	disease	3325.796968605712	low	2
dark	45	WT	5193.154578619791	low	2
dark	45	disease	2693.1545786197917	low	2
dark	46	WT	4937.938774080467	low	2
dark	46	disease	2437.938774080467	low	2
dark	47	WT	3321.43560456011	low	2
dark	47	disease	821.4356045601099	low	2
dark	48	WT	2456.6506981004854	low	2
dark	48	disease	-43.349301899514586	low	2
dark	49	WT	1690.1415041199705	low	2
dark	49	disease	-809.8584958800295	low	2
light	50	WT	0	low	2
light	50	disease	0	low	2
light	51	WT	0	low	2
light	51	disease	0	low	2
light	52	WT	0	low	2
light	52	disease	0	low	2
light	53	WT	0	low	2
light	53	disease	0	low	2
light	54	WT	0	low	2
light	54	disease	0	low	2
light	55	WT	0	low	2
light	55	disease	0	low	2
light	56	WT	0	low	2
light	56	disease	0	low	2
light	57	WT	0	low	2
light	57	disease	0	low	2
light	58	WT	0	low	2
light	58	disease	0	low	2
light	59	WT	0	low	2
light	59	disease	0	low	2
dark	60	WT	6866.561890993846	low	2
dark	60	disease	4366.561890993846	low	2
dark	61	WT	5521.115650751456	low	2
dark	61	disease	3021.115650751456	low	2
dark	62	WT	5533.598377441965	low	2
dark	62	disease	3033.598377441964	low	2
dark	63	WT	5660.411408250866	low	2
dark	63	disease	3160.4114082508654	low	2
dark	64	WT	5165.17503639628	low	2
dark	64	disease	2665.1750363962797	low	2
dark	65	WT	4934.806735398762	low	2
dark	65	disease	2434.8067353987617	low	2
dark	66	WT	3527.1032650642264	low	2
dark	66	disease	1027.1032650642264	low	2
dark	67	WT	2825.5636677585717	low	2
dark	67	disease	325.5636677585718	low	2
dark	68	WT	2218.940894144442	low	2
dark	68	disease	-281.05910585555785	low	2
dark	69	WT	3431.3134240691734	low	2
dark	69	disease	931.3134240691732	low	2
light	70	WT	0	low	2
light	70	disease	0	low	2
light	71	WT	0	low	2
light	71	disease	0	low	2
light	72	WT	0	low	2
light	72	disease	0	low	2
light	73	WT	0	low	2
light	73	disease	0	low	2
light	74	WT	0	low	2
light	74	disease	0	low	2
light	75	WT	0	low	2
light	75	disease	0	low	2
light	76	WT	0	low	2
light	76	disease	0	low	2
light	77	WT	0	low	2
light	77	disease	0	low	2
light	78	WT	0	low	2
light	78	disease	0	low	2
light	79	WT	0	low	2
light	79	disease	0	low	2
dark	80	WT	5693.120740260771	low	2
dark	80	disease	3193.1207402607706	low	2
dark	81	WT	4817.3378455905695	low	2
dark	81	disease	2317.3378455905695	low	2
dark	82	WT	5859.988528254312	low	2
dark	82	disease	3359.988528254312	low	2
dark	83	WT	5333.296644426224	low	2
dark	83	disease	2833.296644426224	low	2
dark	84	WT	4610.253330580598	low	2
dark	84	disease	2110.2533305805982	low	2
dark	85	WT	3809.6551947305607	low	2
dark	85	disease	1309.6551947305607	low	2
dark	86	WT	2521.171696715442	low	2
dark	86	disease	21.171696715442124	low	2
dark	87	WT	2525.3941566359063	low	2
dark	87	disease	25.394156635906114	low	2
dark	88	WT	2953.8992321755504	low	2
dark	88	disease	453.8992321755506	low	2
dark	89	WT	1171.075263625703	low	2
dark	89	disease	-1328.924736374297	low	2
acclimation	0	WT	4664.81287688378	moderate	2
acclimation	0	disease	2164.8128768837796	moderate	2
acclimation	1	WT	4123.499202974446	moderate	2
acclimation	1	disease	1623.4992029744458	moderate	2
acclimation	2	WT	2760.220954653877	moderate	2
acclimation	2	disease	260.22095465387713	moderate	2
acclimation	3	WT	4875.859305636514	moderate	2
acclimation	3	disease	2375.8593056365144	moderate	2
acclimation	4	WT	4000.235435296686	moderate	2
acclimation	4	disease	1500.2354352966859	moderate	2
acclimation	5	WT	4037.8310496760173	moderate	2
acclimation	5	disease	1537.8310496760175	moderate	2
acclimation	6	WT	4445.073619904388	moderate	2
acclimation	6	disease	1945.073619904388	moderate	2
acclimation	7	WT	4194.3765934764415	moderate	2
